,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPG2,2381.46919331196,4.37500941567581,0.100646509055215,43.4690627299916,0.0,0.0
KIF2C,2566.49753187547,-2.66832648985552,0.0706695934020476,-37.7577733421373,0.0,0.0
CCN1,7205.49420614003,-3.4456505527520496,0.06114645746954099,-56.350779674659606,0.0,0.0
ATP1B1,5993.31974125801,3.3058725382351697,0.0664670170921277,49.7370377499115,0.0,0.0
STEAP3,5283.9070936981,2.59705862310673,0.0615200865427324,42.214807700291296,0.0,0.0
FN1,18542.7938116354,2.4127222812430897,0.0537840057639694,44.859475358367604,0.0,0.0
TFRC,5455.11083037645,-3.4550425565855,0.0867212302303944,-39.8407927033139,0.0,0.0
TRIP13,2974.48930123971,-2.9041583533241897,0.0725983543056811,-40.003087963895105,0.0,0.0
PLK2,3491.7987280116804,-2.4685818491040297,0.0628952719409805,-39.2490845960646,0.0,0.0
CCNB1,3317.8375301908,-2.9127169544483,0.0696343020804171,-41.8287663899403,0.0,0.0
VEGFA,9265.8107826917,3.1609688300613303,0.0737919631636409,42.8362208368352,0.0,0.0
MARCKS,4179.58675487541,2.39919863590257,0.061936572711,38.7363803143804,0.0,0.0
ACTB,76756.14094643861,-1.90557600371202,0.0505135873287944,-37.7240284145445,0.0,0.0
HILPDA,2406.26186316219,3.67383032867098,0.0960987008765741,38.2297606019619,0.0,0.0
L1CAM,6222.38785500905,2.7306071386603303,0.0668105292032385,40.8709101877308,0.0,0.0
STC1,6311.475957274361,2.4754725664288904,0.0635583479989821,38.9480319165712,0.0,0.0
MCM4,3210.69560090457,-2.8252983064778,0.0690086435700803,-40.9412235962678,0.0,0.0
NDRG1,8638.81302004288,4.7501268080648495,0.0898892135963089,52.8442358990657,0.0,0.0
ADGRB1,2488.82277590493,4.14245303535386,0.104746055406689,39.5475802813797,0.0,0.0
FIBCD1,1826.4630988716601,6.58525128935457,0.159463586176004,41.2962698712059,0.0,0.0
FJX1,2943.66086724839,-3.1396599240548504,0.0823985314355686,-38.1033480737445,0.0,0.0
FTH1,37458.6024430744,2.10832571620447,0.0539947574795457,39.046859632681,0.0,0.0
CCND1,11524.8430655932,-2.3117305416477203,0.0551536945195239,-41.9143370500664,0.0,0.0
FXYD6,1505.87323441893,5.250879863295999,0.12408236055847802,42.3176980165633,0.0,0.0
MKI67,12210.738125663202,-2.9460435229892004,0.0591184079479378,-49.8329306429161,0.0,0.0
FOXM1,3152.96335093916,-2.94625020737255,0.0706613544883934,-41.6953542527478,0.0,0.0
HSP90AA1,21197.9085978745,-2.4323340127013098,0.0626698936540639,-38.8118420325991,0.0,0.0
PLK1,2007.47408458281,-3.12044315776859,0.0829598786976276,-37.6138828401859,0.0,0.0
ITGB3,4040.6171034748604,3.45260278898504,0.0728057710604264,47.422103202773506,0.0,0.0
SMURF2,5313.71562464148,-2.31036038787243,0.0591133222240193,-39.0835821934851,0.0,0.0
TPX2,6327.9129748872,-2.5085516270580497,0.0625761190626311,-40.088002653972396,0.0,0.0
FAM83D,2223.56926938917,-3.0537915130678397,0.0740194439018216,-41.2566124803417,0.0,0.0
MYBL2,5908.59740293881,-3.15950353792852,0.0700332373357912,-45.114343676267794,0.0,0.0
AURKA,2348.99548296749,-3.17903631347779,0.0748207937473953,-42.4886739936311,0.0,0.0
KISS1R,1482.71678489835,4.91737528586743,0.122666391223827,40.0873885406378,0.0,0.0
NPTXR,1269.5815034169,3.88975121576468,0.0999161713530144,38.9301467729561,0.0,0.0
SLC5A3,15428.019307787801,3.6675320415689905,0.0711147648027239,51.5720195622233,0.0,0.0
CTPS1,2769.1024392035997,-2.53870189244068,0.0677950489923981,-37.446715212571796,6.793465719660525e-307,4.514436746128097e-304
CDCA5,2454.84244604736,-2.58947727298703,0.0699678049492863,-37.0095542494712,8.038791940212576e-300,5.205014719852506e-297
ZNF467,1170.0649455570199,5.470370092861401,0.147952917672864,36.973722309125705,3.028729237569938e-299,1.912036767677899e-296
SLC2A3,2012.74799513856,3.44997603345422,0.0947339438999196,36.417527777571394,2.2477239177380787e-290,1.3843786431883392e-287
HNRNPA2B1,17647.1410947219,-1.97871645344756,0.05452257527355099,-36.2916909834126,2.187920566514719e-288,1.3154611939435592e-285
GTSE1,2222.45756633784,-2.79632104204745,0.0773535835701579,-36.1498577439693,3.739683615758008e-286,2.1961509457004887e-283
CDC6,1201.2958400596601,-3.2257793287171697,0.0894142736132623,-36.076782803933796,5.2457332557620575e-285,3.0105740039659887e-282
TUBB4B,15143.453140246498,-2.17741496085473,0.0605105340020938,-35.9840645395624,1.4851155476970794e-283,8.333808402321504e-281
ARRDC3,3726.0720906287297,2.76804937536642,0.0772438269740261,35.8352179559565,3.1251692582663984e-281,1.7155820458639788e-278
CDC20,3488.06774871169,-3.1148867899634998,0.0871354435430263,-35.74764370626529,7.197646096485237e-280,3.8671267920945777e-277
MAP2K3,2911.02479999839,-2.67908383659891,0.0750272793442742,-35.708129896401,2.956535412252098e-279,1.5553840047956288e-276
CCT5,14215.9383261905,-1.9186082832428402,0.0541703488484392,-35.418052939087204,9.005675373091766e-275,4.641047235128848e-272
ADGRG1,945.351744827185,4.18764275917943,0.11859576850927,35.310220691829294,4.092366781900927e-273,2.066808919531249e-270
NCAPD2,7943.53335380438,-2.04701383981707,0.0580142504593837,-35.2846727072721,1.0090806232099195e-272,4.996334097509188e-270
KPNA2,5201.65499855502,-2.2671338026898,0.0643898348577918,-35.2094986374306,1.4308244040169293e-271,6.948303432737596e-269
EBNA1BP2,2514.83722980766,-2.46094902989352,0.0700225309685479,-35.145102524199,1.380954314032399e-270,6.579595912820006e-268
FRMD6,2764.6819680818394,-2.38246094349449,0.0678111330912353,-35.1337728023075,2.056934463505159e-270,9.618835013413376e-268
ASS1,960.038189151595,4.64475210987181,0.132576876074407,35.0344060548312,6.737245591502896e-269,3.0932531941205687e-266
NUAK2,2377.56426556889,-2.64467733040544,0.07565924724432099,-34.955110270462605,1.0829405095455192e-267,4.883288169114887e-265
FEN1,1634.69189141257,-2.78296732177576,0.0796470541879672,-34.941246103188604,1.758750270283509e-267,7.791572250034926e-265
KRT18,12040.3073344321,-2.1133393611405302,0.0606441139681285,-34.8482189425868,4.530525124685288e-266,1.972496904285389e-263
CLSPN,1450.43902038135,-3.1286588515696603,0.0899122888886556,-34.7967879612551,2.7201385248477985e-265,1.1642192886348593e-262
RRM2,3953.5183417515796,-2.43972101784637,0.0701765696085576,-34.765464192038,8.093472621438345e-265,3.406272843942688e-262
KIF4A,1926.9896149832398,-2.6805146857253197,0.0771251664355359,-34.7553828355857,1.1493476957791994e-264,4.757922625215807e-262
MCM3,2233.35021413067,-2.52951061092728,0.0730496545470102,-34.627276838105196,9.820416265143695e-263,3.999760508506588e-260
TK1,3415.5118163673496,-2.72454832574632,0.079019154063259,-34.4795936889577,1.6224466592398992e-260,6.503178260178736e-258
ANGPTL4,8108.86745070145,2.61166325868526,0.0757470902784965,34.478727157479604,1.6716942969101093e-260,6.595878810245937e-258
CDCA8,1551.65874874582,-2.7268929521006102,0.0790904772002621,-34.4781451399761,1.705607865997909e-260,6.626155358796817e-258
NCL,13978.226669123402,-1.82208293048433,0.0534151107964051,-34.1117504638211,4.938926697033967e-255,1.889663287174269e-252
