Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000223972,0,0,0,0,0,0
ENSG00000227232,118,154,161,116,132,120
ENSG00000278267,7,9,8,9,8,6
ENSG00000243485,0,0,0,0,0,0
ENSG00000284332,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0
ENSG00000240361,1,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0
ENSG00000238009,5,2,2,0,2,1
ENSG00000239945,0,0,0,0,0,0
ENSG00000233750,1,0,1,0,0,0
ENSG00000268903,2,1,0,1,0,0
ENSG00000269981,0,1,8,1,3,1
ENSG00000239906,0,0,1,0,2,0
ENSG00000241860,19,10,12,10,16,7
ENSG00000222623,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0
ENSG00000279928,0,4,0,1,1,0
ENSG00000279457,339,356,357,321,426,295
ENSG00000273874,5,4,0,1,2,5
ENSG00000228463,84,49,100,45,133,38
ENSG00000286448,0,0,0,0,0,1
ENSG00000236679,3,0,0,1,1,0
ENSG00000236601,0,0,0,0,0,0
ENSG00000237094,41,15,33,15,34,21
ENSG00000269732,0,0,0,0,0,0
ENSG00000284733,0,0,0,0,0,0
ENSG00000233653,0,2,0,0,1,0
ENSG00000250575,10,14,17,10,13,8
ENSG00000278757,0,0,0,0,0,0
ENSG00000230021,39,39,38,29,46,40
ENSG00000235146,0,0,0,0,0,0
ENSG00000225972,84,88,63,73,43,85
ENSG00000225630,155,234,119,239,164,191
ENSG00000237973,347,455,386,412,365,381
ENSG00000278791,0,0,0,0,0,0
ENSG00000229344,85,174,77,200,112,191
ENSG00000240409,12,16,10,17,13,13
ENSG00000248527,1620,2175,1236,2289,1468,1980
ENSG00000198744,380,420,313,479,392,404
ENSG00000268663,0,0,0,0,0,0
ENSG00000284662,0,0,0,0,0,0
ENSG00000229376,0,9,2,6,5,6
ENSG00000228327,248,228,201,182,226,180
ENSG00000223181,0,1,0,1,1,0
ENSG00000229905,0,2,0,1,0,0
ENSG00000237491,162,60,137,52,156,54
ENSG00000285268,0,0,0,0,0,0
ENSG00000230092,9,2,10,3,6,4
ENSG00000177757,20,17,33,10,45,10
ENSG00000228794,610,825,594,822,541,740
ENSG00000225880,44,21,52,24,43,25
ENSG00000288531,0,0,0,0,0,0
ENSG00000230368,2,0,0,0,1,0
ENSG00000234711,2,3,1,1,2,2
ENSG00000283040,0,0,0,0,2,0
ENSG00000272438,25,1,18,1,23,0
ENSG00000230699,104,5,84,2,130,7
ENSG00000241180,1,0,1,0,0,0
ENSG00000223764,152,0,157,6,185,3
ENSG00000187634,378,22,469,4,487,20
ENSG00000188976,1724,5801,1795,5321,1870,4582
ENSG00000187961,1037,1192,1084,859,1258,751
ENSG00000187583,346,240,321,167,396,183
ENSG00000187642,27,4,16,0,28,5
ENSG00000272512,42,23,30,24,30,19
ENSG00000188290,1079,527,1157,532,1279,465
ENSG00000187608,386,215,348,180,375,183
ENSG00000231702,1,0,0,1,0,0
ENSG00000224969,8,0,4,0,9,0
ENSG00000188157,49109,19995,50494,15730,55277,14084
ENSG00000242590,0,0,0,0,0,0
ENSG00000217801,1541,399,1880,348,1869,280
ENSG00000273443,335,81,353,65,394,63
ENSG00000237330,6,6,16,1,17,0
ENSG00000131591,514,950,520,822,553,779
ENSG00000285812,15,23,7,18,20,17
ENSG00000223823,0,0,0,0,0,0
ENSG00000207730,16,17,23,10,22,6
ENSG00000207607,14,11,12,11,24,5
ENSG00000198976,30,20,10,11,23,28
ENSG00000272141,76,75,81,80,98,59
ENSG00000205231,0,0,0,1,0,0
ENSG00000162571,4,4,2,0,1,0
ENSG00000186891,4,0,10,0,10,0
ENSG00000186827,3,9,2,1,0,1
ENSG00000078808,4798,5547,4772,5021,5101,4546
ENSG00000176022,752,560,653,557,767,511
ENSG00000184163,43,25,46,26,61,23
ENSG00000260179,9,11,10,8,13,6
